X_mm,Y_mm,Z_mm,PowerDensity_W_per_mm3
0.250,0.250,0.025,4.762
0.250,0.250,0.075,4.762
0.250,0.250,0.125,4.762
0.750,0.250,0.025,4.762
0.750,0.250,0.075,4.762
0.750,0.250,0.125,4.762
1.250,0.250,0.025,4.762
1.250,0.250,0.075,4.762
1.250,0.250,0.125,4.762
1.750,0.250,0.025,4.762
1.750,0.250,0.075,4.762
1.750,0.250,0.125,4.762
2.250,0.250,0.025,4.762
2.250,0.250,0.075,4.762
2.250,0.250,0.125,4.762
2.750,0.250,0.025,4.762
2.750,0.250,0.075,4.762
2.750,0.250,0.125,4.762
3.250,0.250,0.025,4.762
3.250,0.250,0.075,4.762
3.250,0.250,0.125,4.762
3.750,0.250,0.025,4.762
3.750,0.250,0.075,4.762
3.750,0.250,0.125,4.762
4.250,0.250,0.025,4.762
4.250,0.250,0.075,4.762
4.250,0.250,0.125,4.762
4.750,0.250,0.025,2.222
4.750,0.250,0.075,2.222
4.750,0.250,0.125,2.222
5.250,0.250,0.025,2.222
5.250,0.250,0.075,2.222
5.250,0.250,0.125,2.222
5.750,0.250,0.025,2.222
5.750,0.250,0.075,2.222
5.750,0.250,0.125,2.222
6.250,0.250,0.025,2.222
6.250,0.250,0.075,2.222
6.250,0.250,0.125,2.222
6.750,0.250,0.025,2.222
6.750,0.250,0.075,2.222
6.750,0.250,0.125,2.222
7.250,0.250,0.025,2.222
7.250,0.250,0.075,2.222
7.250,0.250,0.125,2.222
7.750,0.250,0.025,1.693
7.750,0.250,0.075,1.693
7.750,0.250,0.125,1.693
8.250,0.250,0.025,1.693
8.250,0.250,0.075,1.693
8.250,0.250,0.125,1.693
8.750,0.250,0.025,1.693
8.750,0.250,0.075,1.693
8.750,0.250,0.125,1.693
9.250,0.250,0.025,1.693
9.250,0.250,0.075,1.693
9.250,0.250,0.125,1.693
9.750,0.250,0.025,1.693
9.750,0.250,0.075,1.693
9.750,0.250,0.125,1.693
10.250,0.250,0.025,4.762
10.250,0.250,0.075,4.762
10.250,0.250,0.125,4.762
10.750,0.250,0.025,4.762
10.750,0.250,0.075,4.762
10.750,0.250,0.125,4.762
11.250,0.250,0.025,4.762
11.250,0.250,0.075,4.762
11.250,0.250,0.125,4.762
11.750,0.250,0.025,4.762
11.750,0.250,0.075,4.762
11.750,0.250,0.125,4.762
12.250,0.250,0.025,4.762
12.250,0.250,0.075,4.762
12.250,0.250,0.125,4.762
12.750,0.250,0.025,4.762
12.750,0.250,0.075,4.762
12.750,0.250,0.125,4.762
13.250,0.250,0.025,4.762
13.250,0.250,0.075,4.762
13.250,0.250,0.125,4.762
13.750,0.250,0.025,4.762
13.750,0.250,0.075,4.762
13.750,0.250,0.125,4.762
14.250,0.250,0.025,4.762
14.250,0.250,0.075,4.762
14.250,0.250,0.125,4.762
0.250,0.750,0.025,4.762
0.250,0.750,0.075,4.762
0.250,0.750,0.125,4.762
0.750,0.750,0.025,4.762
0.750,0.750,0.075,4.762
0.750,0.750,0.125,4.762
1.250,0.750,0.025,4.762
1.250,0.750,0.075,4.762
1.250,0.750,0.125,4.762
