X_mm,Y_mm,Z_mm,PowerDensity_W_per_mm3
0.5,0.5,0.075,4.761904761904762
0.5,1.0,0.075,4.761904761904762
0.5,1.5,0.075,4.761904761904762
0.5,2.0,0.075,4.761904761904762
0.5,2.5,0.075,4.761904761904762
0.5,3.0,0.075,4.761904761904762
0.5,3.5,0.075,4.761904761904762
1.0,0.5,0.075,4.761904761904762
1.0,1.0,0.075,4.761904761904762
1.0,1.5,0.075,4.761904761904762
1.0,2.0,0.075,4.761904761904762
1.0,2.5,0.075,4.761904761904762
1.0,3.0,0.075,4.761904761904762
1.0,3.5,0.075,4.761904761904762
1.5,0.5,0.075,4.761904761904762
1.5,1.0,0.075,4.761904761904762
1.5,1.5,0.075,4.761904761904762
1.5,2.0,0.075,4.761904761904762
1.5,2.5,0.075,4.761904761904762
1.5,3.0,0.075,4.761904761904762
1.5,3.5,0.075,4.761904761904762
2.0,0.5,0.075,4.761904761904762
2.0,1.0,0.075,4.761904761904762
2.0,1.5,0.075,4.761904761904762
2.0,2.0,0.075,4.761904761904762
2.0,2.5,0.075,4.761904761904762
2.0,3.0,0.075,4.761904761904762
2.0,3.5,0.075,4.761904761904762
2.5,0.5,0.075,4.761904761904762
2.5,1.0,0.075,4.761904761904762
2.5,1.5,0.075,4.761904761904762
2.5,2.0,0.075,4.761904761904762
2.5,2.5,0.075,4.761904761904762
2.5,3.0,0.075,4.761904761904762
2.5,3.5,0.075,4.761904761904762
3.0,0.5,0.075,4.761904761904762
3.0,1.0,0.075,4.761904761904762
3.0,1.5,0.075,4.761904761904762
3.0,2.0,0.075,4.761904761904762
3.0,2.5,0.075,4.761904761904762
3.0,3.0,0.075,4.761904761904762
3.0,3.5,0.075,4.761904761904762
3.5,0.5,0.075,4.761904761904762
3.5,1.0,0.075,4.761904761904762
3.5,1.5,0.075,4.761904761904762
3.5,2.0,0.075,4.761904761904762
3.5,2.5,0.075,4.761904761904762
3.5,3.0,0.075,4.761904761904762
3.5,3.5,0.075,4.761904761904762
4.0,0.5,0.075,4.761904761904762
4.0,1.0,0.075,4.761904761904762
4.0,1.5,0.075,4.761904761904762
4.0,2.0,0.075,4.761904761904762
4.0,2.5,0.075,4.761904761904762
4.0,3.0,0.075,4.761904761904762
4.0,3.5,0.075,4.761904761904762
10.5,0.5,0.075,4.761904761904762
10.5,1.0,0.075,4.761904761904762
10.5,1.5,0.075,4.761904761904762
10.5,2.0,0.075,4.761904761904762
10.5,2.5,0.075,4.761904761904762
10.5,3.0,0.075,4.761904761904762
10.5,3.5,0.075,4.761904761904762
11.0,0.5,0.075,4.761904761904762
11.0,1.0,0.075,4.761904761904762
11.0,1.5,0.075,4.761904761904762
